Country,Year,Series,Value,Latitude,Longitude
Egypt,2017,Threatened Species: Total (number),156,26.49593311,29.86190099
Egypt,2018,Threatened Species: Total (number),163,26.49593311,29.86190099
Egypt,2019,Threatened Species: Total (number),169,26.49593311,29.86190099
Romania,2004,Threatened Species: Total (number),63,45.85243127,24.97293039
Romania,2010,Threatened Species: Total (number),64,45.85243127,24.97293039
Romania,2015,Threatened Species: Total (number),85,45.85243127,24.97293039
Romania,2016,Threatened Species: Total (number),92,45.85243127,24.97293039
Romania,2017,Threatened Species: Total (number),104,45.85243127,24.97293039
Romania,2018,Threatened Species: Total (number),125,45.85243127,24.97293039
Romania,2019,Threatened Species: Total (number),138,45.85243127,24.97293039
France,2004,Threatened Species: Total (number),120,42.17344011,-2.761729445
France,2010,Threatened Species: Total (number),168,42.17344011,-2.761729445
France,2015,Threatened Species: Total (number),236,42.17344011,-2.761729445
France,2016,Threatened Species: Total (number),260,42.17344011,-2.761729445
France,2017,Threatened Species: Total (number),278,42.17344011,-2.761729445
France,2018,Threatened Species: Total (number),299,42.17344011,-2.761729445
France,2019,Threatened Species: Total (number),342,42.17344011,-2.761729445
Bulgaria,2004,Threatened Species: Total (number),44,42.76890318,25.21552909
Bulgaria,2010,Threatened Species: Total (number),66,42.76890318,25.21552909
Bulgaria,2015,Threatened Species: Total (number),85,42.76890318,25.21552909
Bulgaria,2016,Threatened Species: Total (number),93,42.76890318,25.21552909
Bulgaria,2017,Threatened Species: Total (number),104,42.76890318,25.21552909
Bulgaria,2018,Threatened Species: Total (number),115,42.76890318,25.21552909
Bulgaria,2019,Threatened Species: Total (number),124,42.76890318,25.21552909
